1,Mavericks
2,Trailblazers
3,Bullets
4,Nuggets
5,Clippers
6,Heat 
7,Jazz
8,Warriors
9,Bucks
10,Magic
11,Bulls
12,Pistons
13,Clippers
14,Supersonics
15,Suns
16,Lakers
17,Nets
18,Celtics
19,Hornets
20,Timberwolves
21,Hornets
22,Thunder
23,Pacers
24,Jazz
25,Pacers
26,Hawks
27,Grizzlies
28,Pelicans
29,Jazz
30,Nuggets
31,Nets
32,Mavericks
33,Warriors
34,Jazz
35,Jazz
36,Kings
37,Celtics
38,Heat 
39,Clippers
40,Mavericks
41,Suns
42,Lakers
43,Hornets
44,Heat 
45,Spurs
46,Celtics
47,Spurs
48,Timberwolves
49,Knicks
50,Thunder
51,Magic
52,Pelicans
53,Spurs
54,Pelicans
55,Spurs
56,Pelicans
