1,Pacers
2,Trailblazers
3,Trailblazers
4,Kings
5,Magic
6,Clippers
7,Grizzlies
8,Pistons
9,Spurs
10,Nuggets
11,Thunder
12,Nuggets
13,Timberwolves
14,Lakers
15,Clippers
16,Warriors
17,Raptors
18,Bucks
19,Knicks
20,Jazz
21,Warriors
22,Suns
23,Supersonics
24,Grizzlies
25,Supersonics
26,Pacers
27,Pistons
28,Kings
29,Grizzlies
30,Grizzlies
31,Pacers
32,Hornets
33,Nuggets
34,Raptors
35,Knicks
36,Pacers
37,Thunder
38,Celtics
39,Timberwolves
40,Heat
41,Clippers
42,Warriors
43,Pacers
44,Bucks
45,Knicks
46,Warriors
47,Magic
48,Suns
48,Pelicans
50,Celtics
51,Pelicans
52,Grizzlies
